1,0.012374,0.161629
1,0.214442,0.156473
1,1.748535,0.153520
1,19.288868,0.111333
1,155.012554,0.110829
1,2892.091736,0.047522
1,0.011617,0.172161
4,0.107336,0.312611
4,0.955368,0.280976
4,14.475610,0.148352
4,114.925216,0.149487
4,1409.855336,0.097484
4,0.005387,0.371264
16,0.105073,0.319344
16,0.855358,0.313828
16,13.518444,0.158856
16,108.879594,0.157788
16,1301.993935,0.105560
4,0.000750,0.000171
4,0.042261,0.378600
4,33.171373,0.482344
4,0.008695,0.230017
4,0.028034,0.570736
4,0.107717,0.501314
4,0.229310,0.558196
4,0.423873,0.589799
4,0.926068,0.466488
4,1.588140,0.431952
4,2.172679,0.471308
4,0.007703,0.259639
4,0.028824,0.555093
4,0.100314,0.538310
4,0.232370,0.550846
4,0.387901,0.644494
4,0.894169,0.483130
4,1.453648,0.471916
4,2.195474,0.466414
4,2.776202,0.525178
4,4.189988,0.477328
4,5.406620,0.492359
4,7.195585,0.480295
4,9.085177,0.483645
4,11.148787,0.492251
4,13.355366,0.505415
4,21.280801,0.384948
4,20.694613,0.474810
4,23.744113,0.491238
4,28.661917,0.478614
4,33.347210,0.479800
4,38.320515,0.483344
4,44.447991,0.479122
4,51.528143,0.472247
1,100,0.011239,0.177952
1,200,0.040612,0.393972
1,300,0.163888,0.329493
1,400,0.354474,0.361098
1,500,0.680662,0.367289
1,600,1.363688,0.316788
1,700,2.263255,0.303103
1,800,3.387104,0.302323
1,900,4.661860,0.312751
1,1000,6.444814,0.310327
1,1100,8.603757,0.309400
1,1200,11.021014,0.313583
1,1300,14.196476,0.309513
1,1400,17.092583,0.321075
4,2400,72.151974,0.383191
1,1500,20.658064,0.326749
1,1600,34.147901,0.239898
1,1700,30.415403,0.323060
4,2500,64.757536,0.482569
1,1800,36.004105,0.323963
1,1900,42.824402,0.320331
4,2600,72.444471,0.485227
1,2000,49.264797,0.324776
1,2100,58.011616,0.319281
4,2700,82.677874,0.476137
1,2200,66.060756,0.322370
4,2800,91.665595,0.478958
1,2300,75.877184,0.320702
4,2900,101.535568,0.480403
1,2400,105.098902,0.263066
1,2500,97.973666,0.318963
4,3000,111.395590,0.484759
1,2600,109.862823,0.319963
4,3100,125.014050,0.476602
1,2700,123.506727,0.318736
1,2800,139.955300,0.313700
4,3200,175.488371,0.373449
1,2900,167.449319,0.291300
4,3300,152.538480,0.471186
1,3000,184.321307,0.292967
4,3400,165.444385,0.475132
1,3100,223.665702,0.266389
4,3500,183.777834,0.466596
1,3200,299.284736,0.218975
4,3600,196.963565,0.473753
1,3300,274.183143,0.262139
4,3700,218.056472,0.464586
1,3400,279.583240,0.281161
4,3800,232.176225,0.472675
4,3900,257.232072,0.461210
1,3500,340.366512,0.251934
1,3600,330.677882,0.282184
4,4000,342.850189,0.373341
1,256,0.124597,0.269304
1,512,1.841818,0.145745
1,1024,17.377106,0.123581
1,2048,139.261980,0.123364
1,3700,400.121539,0.253188
1,3800,405.280217,0.270785
1,3900,464.721997,0.255288
1,4000,599.474252,0.213520
1,256,0.162552,0.206423
1,512,1.884507,0.142443
1,1024,18.255853,0.117633
1,2048,142.771365,0.120331
1,4096,2626.902629,0.052320
1,100,0.007675,0.260586
1,200,0.040153,0.398476
1,300,0.137923,0.391523
1,400,0.361841,0.353747
1,500,0.590117,0.423645
1,600,1.346225,0.320897
1,700,2.085796,0.328891
1,800,3.327162,0.307770
1,900,4.488554,0.324826
1,1000,6.082590,0.328807
1,1100,8.436892,0.315519
1,1200,10.757816,0.321255
1,1300,13.385218,0.328273
1,1400,16.945472,0.323862
1,1500,20.829632,0.324058
1,1600,32.877742,0.249166
1,1700,29.855360,0.329120
1,1800,35.407828,0.329419
1,1900,41.909258,0.327326
1,2000,49.458643,0.323503
1,2100,56.916410,0.325425
1,2200,64.856089,0.328358
1,2300,74.340061,0.327334
1,2400,103.193284,0.267924
1,2500,95.509585,0.327192
1,2600,106.587668,0.329794
1,2700,125.168625,0.314504
1,2800,138.520313,0.316950
1,2900,163.459202,0.298411
1,3000,182.607272,0.295717
1,3100,218.053973,0.273244
1,4096,2676.936282,0.051342
1,100,0.008256,0.242248
1,200,0.047993,0.333382
1,300,0.120702,0.447383
1,400,0.316944,0.403857
1,500,0.704010,0.355109
1,600,1.314572,0.328624
1,700,2.229078,0.307751
1,800,3.300736,0.310234
1,900,4.677952,0.311675
1,1000,6.397891,0.312603
1,1100,8.280988,0.321459
1,1200,10.985051,0.314609
1,3200,287.176712,0.228208
1,1300,13.939850,0.315211
1,1400,17.255795,0.318038
1,1500,21.034245,0.320905
1,1600,35.522208,0.230616
1,1700,30.885883,0.318139
1,1800,36.675872,0.318029
1,1900,43.335568,0.316553
1,2000,49.843387,0.321005
1,3300,271.011335,0.265207
1,2100,59.016643,0.313844
1,2200,66.899822,0.318327
1,2300,77.766862,0.312910
1,3400,277.685824,0.283083
1,2400,110.280939,0.250705
1,2500,97.511109,0.320476
1,2600,110.636425,0.317725
1,3500,325.283696,0.263616
1,2700,124.389787,0.316473
1,2800,139.064150,0.315710
1,2900,164.533451,0.296463
1,3600,327.652071,0.284790
1,3000,187.486186,0.288021
1,3700,386.454530,0.262142
1,3100,223.967961,0.266029
1,3200,294.325816,0.222665
1,3800,392.856914,0.279349
1,3300,281.462283,0.255359
1,3900,459.577756,0.258146
1,3400,281.626599,0.279121
1,4,0.000415,0.000308
1,3500,332.365247,0.257999
1,4000,579.806122,0.220763
4,256,0.113665,0.295205
4,512,0.981428,0.273515
4,1024,14.365115,0.149493
1,3600,379.382246,0.245958
4,2048,115.055439,0.149318
1,3700,521.282156,0.194340
1,3800,519.299325,0.211331
1,3900,625.651572,0.189623
4,4096,1402.237282,0.098014
4,100,0.008328,0.240154
4,200,0.036733,0.435576
4,300,0.107104,0.504183
4,400,0.273502,0.468004
4,500,0.503347,0.496675
4,600,0.958008,0.450936
4,700,1.497035,0.458239
4,800,2.270968,0.450909
4,900,3.412486,0.427255
4,1000,4.567376,0.437888
4,1100,5.989700,0.444430
4,1200,7.597364,0.454895
4,1300,9.848082,0.446178
4,1400,12.277882,0.446983
4,1500,14.980291,0.450592
4,1600,23.106621,0.354530
4,1700,22.053536,0.445552
4,1800,25.800743,0.452080
4,1900,30.241686,0.453612
4,2000,35.269663,0.453648
4,2100,40.723979,0.454818
4,2200,47.500691,0.448330
4,2300,54.389264,0.447404
4,2400,72.629770,0.380670
4,2500,69.951727,0.446737
1,4000,732.327195,0.174785
4,256,0.138660,0.241991
4,512,0.984393,0.272691
4,1024,14.545655,0.147637
4,2600,78.241212,0.449277
4,2700,87.932535,0.447684
4,2048,116.742351,0.147161
4,2800,96.787276,0.453613
4,2900,108.382147,0.450056
4,3000,119.662383,0.451270
4,3100,133.112286,0.447607
4,3200,196.502475,0.333512
4,3300,161.332731,0.445502
4,3400,179.391278,0.438193
4,3500,198.452519,0.432093
4,3600,209.226304,0.445986
4,4096,1379.454430,0.099633
4,100,0.007692,0.260010
4,200,0.066746,0.239715
4,300,0.130240,0.414619
4,400,0.300762,0.425586
4,500,0.476819,0.524308
4,600,0.970728,0.445027
4,700,1.493870,0.459210
4,800,2.347680,0.436175
4,900,3.250057,0.448608
4,1000,4.638476,0.431176
4,1100,5.987972,0.444558
4,1200,7.759267,0.445403
4,1300,10.046927,0.437348
4,1400,12.220718,0.449073
4,1500,15.606953,0.432500
4,1600,23.021370,0.355843
4,1700,22.713338,0.432609
4,1800,26.137945,0.446248
4,1900,30.962221,0.443056
4,3700,238.147853,0.425391
4,2000,35.589206,0.449575
4,2100,41.541692,0.445865
4,2200,48.149519,0.442289
4,2300,54.862047,0.443549
4,2400,73.683814,0.375225
4,3800,254.585402,0.431069
4,2500,69.939888,0.446812
4,2600,78.600104,0.447226
4,2700,89.666378,0.439027
4,3900,275.552560,0.430546
4,2800,98.010325,0.447953
4,2900,110.258619,0.442396
4,3000,121.359405,0.444959
4,4000,359.410173,0.356139
16,256,0.117277,0.286113
16,512,0.866420,0.309821
16,1024,13.503874,0.159027
4,3100,135.083416,0.441076
16,2048,108.695872,0.158054
4,3200,200.504501,0.326856
4,3300,163.389139,0.439895
4,3400,178.113761,0.441336
4,3500,200.454868,0.427777
