4,16,0.001262,0.006492
4,16,0.000640,0.012797
4,4,0.015701,0.000008
4,8,0.152012,0.000007
4,8,0.000187,0.005471
4,8,0.000146,0.007018
4,8,0.000177,0.005788
4,8,0.000130,0.007881
4,8,0.000532,0.001925
4,8,0.000621,0.001649
4,8,0.002057,0.000498
4,8,0.623745,0.000002
4,8,0.001126,0.000910
16,2048,67.440088,0.254743
16,2048,2.013302,8.533180
16,2048,3.616201,4.750806
mpi:16,openmp:1,2048,2.264082,7.588007
mpi:16,openmp:2,2048,3.780420,4.544434
mpi:16,openmp:4,2048,32.058526,0.535891
mpi:16,openmp:1,2048,2.941942,5.839636
mpi:16,openmp:1,2048,3.080778,5.576471
mpi:16,openmp:1,2000,3.329131,4.806059
mpi:16,openmp:2,2048,8.640270,1.988349
mpi:16,openmp:1,2048,4.023807,4.269556
mpi:16,openmp:1,4096,27.742079,4.954169
mpi:16,openmp:1,4096,28.279323,4.860051
mpi:16,openmp:1,2048,2.989830,5.746102
mpi:16,openmp:1,2048,4.128828,4.160956
mpi:4,openmp:1,16,0.003358,0.002440
mpi:4,openmp:1,512,0.304954,0.880249
mpi:4,openmp:4,512,0.236490,1.135082
mpi:4,openmp:16,512,0.686536,0.391000
mpi:4,openmp:16,1024,0.575437,3.731917
mpi:4,openmp:16,1024,0.506939,4.236178
mpi:4,openmp:16,2048,1.975675,8.695696
mpi:4,openmp:16,4096,11.875385,11.573431
mpi:4,openmp:28,4096,14.874996,9.239596
mpi:4,openmp:16,4096,12.873485,10.676126
mpi:4,openmp:28,4096,17.237650,7.973184
mpi:4,openmp:20,4096,11.792381,11.654894
mpi:4,openmp:20,4000,8.581571,14.915684
mpi:4,openmp:20,4000,9.414331,13.596293
mpi:4,openmp:20,5000,20.780162,12.030705
mpi:4,openmp:1,4000,37.450824,3.417815
mpi:4,openmp:20,4000,11.672408,10.966032
mpi:16,openmp:1,4000,10.689584,11.974273
mpi:16,openmp:1,5000,32.372335,7.722643
mpi:16,openmp:1,5000,32.396018,7.716998
mpi:16,openmp:2,5000,23.425696,10.672041
mpi:16,openmp:4,5000,56.106082,4.455845
mpi:16,openmp:5,5000,62.766609,3.983010
mpi:16,openmp:6,5000,79.742484,3.135092
mpi:1,openmp:2,256,0.148517,0.225930
mpi:1,openmp:2,512,0.451341,0.594751
mpi:1,openmp:2,1000,2.102214,0.951378
mpi:1,openmp:2,1024,2.913349,0.737119
mpi:1,openmp:2,2000,15.689749,1.019774
mpi:1,openmp:2,2048,22.082882,0.777972
mpi:1,openmp:2,3000,57.932469,0.932120
mpi:1,openmp:2,4096,928.736146,0.147985
mpi:4,openmp:2,256,0.196042,0.171159
mpi:4,openmp:2,512,0.257417,1.042804
mpi:4,openmp:2,1000,0.507118,3.943855
mpi:4,openmp:2,1024,0.609762,3.521839
mpi:4,openmp:2,2000,2.559676,6.250791
mpi:4,openmp:2,2048,3.415158,5.030476
mpi:4,openmp:2,3000,7.896811,6.838203
mpi:4,openmp:2,4096,25.280983,5.436456
mpi:4,openmp:2,8192,877.105763,1.253568
mpi:1,openmp:2,256,0.143616,0.233640
mpi:1,openmp:2,512,0.440756,0.609034
mpi:1,openmp:2,1000,1.030031,1.941689
mpi:1,openmp:2,1024,2.743976,0.782618
mpi:1,openmp:2,2000,7.801026,2.051012
mpi:1,openmp:2,2048,20.482950,0.838740
mpi:1,openmp:2,3000,31.090573,1.736861
mpi:1,openmp:2,4096,903.100823,0.152186
mpi:16,openmp:2,256,0.825970,0.040624
mpi:16,openmp:2,512,0.981162,0.273589
mpi:16,openmp:2,1000,1.385964,1.443039
mpi:16,openmp:2,1024,1.401247,1.532552
mpi:16,openmp:2,2000,2.294136,6.974303
mpi:16,openmp:2,2048,3.035441,5.659761
mpi:16,openmp:2,3000,3.720828,14.512899
mpi:16,openmp:2,4096,14.955633,9.189778
mpi:16,openmp:2,8192,101.534837,10.828910
mpi:16,openmp:2,16384,2728.182707,3.224158
mpi:1,openmp:3,256,0.152568,0.219931
mpi:1,openmp:3,512,0.459041,0.584775
mpi:1,openmp:3,1000,1.058019,1.890325
mpi:1,openmp:3,1024,2.831118,0.758528
mpi:1,openmp:3,2000,8.046418,1.988462
mpi:1,openmp:3,2048,21.054317,0.815978
mpi:1,openmp:3,3000,31.203734,1.730562
mpi:1,openmp:3,4096,907.813502,0.151396
mpi:1,openmp:2,8192,7597.593271,0.144718
